Banco Central de Chile - Indicadores diarios - Unidad de fomento (UF) (Pesos) - Año 2021;
;
;
Dia;Valor
01-01-2021;29.069,39
02-01-2021;29.068,46
03-01-2021;29.067,52
04-01-2021;29.066,58
05-01-2021;29.065,64
06-01-2021;29.064,70
07-01-2021;29.063,76
08-01-2021;29.062,83
09-01-2021;29.061,89
10-01-2021;29.064,70
11-01-2021;29.067,51
12-01-2021;29.070,32
13-01-2021;29.073,13
14-01-2021;29.075,93
15-01-2021;29.078,74
16-01-2021;29.081,55
17-01-2021;29.084,36
18-01-2021;29.087,18
19-01-2021;29.089,99
20-01-2021;29.092,80
21-01-2021;29.095,61
22-01-2021;29.098,42
23-01-2021;29.101,23
24-01-2021;29.104,04
25-01-2021;29.106,86
26-01-2021;29.109,67
27-01-2021;29.112,48
28-01-2021;29.115,30
29-01-2021;29.118,11
30-01-2021;29.120,92
31-01-2021;29.123,74
01-02-2021;29.126,55
02-02-2021;29.129,37
03-02-2021;29.132,18
04-02-2021;29.135,00
05-02-2021;29.137,81
06-02-2021;29.140,63
07-02-2021;29.143,44
08-02-2021;29.146,26
09-02-2021;29.149,08
10-02-2021;29.156,34
11-02-2021;29.163,61
12-02-2021;29.170,87
13-02-2021;29.178,14
14-02-2021;29.185,41
15-02-2021;29.192,68
16-02-2021;29.199,96
17-02-2021;29.207,23
18-02-2021;29.214,51
19-02-2021;29.221,79
20-02-2021;29.229,07
21-02-2021;29.236,35
22-02-2021;29.243,64
23-02-2021;29.250,92
24-02-2021;29.258,21
25-02-2021;29.265,50
26-02-2021;29.272,79
27-02-2021;29.280,09
28-02-2021;29.287,38
01-03-2021;29.294,68
02-03-2021;29.301,98
03-03-2021;29.309,28
04-03-2021;29.316,58
05-03-2021;29.323,89
06-03-2021;29.331,19
07-03-2021;29.338,50
08-03-2021;29.345,81
09-03-2021;29.353,12
10-03-2021;29.355,01
11-03-2021;29.356,90
12-03-2021;29.358,80
13-03-2021;29.360,69
14-03-2021;29.362,58
15-03-2021;29.364,47
16-03-2021;29.366,37
17-03-2021;29.368,26
18-03-2021;29.370,15
19-03-2021;29.372,04
20-03-2021;29.373,94
21-03-2021;29.375,83
22-03-2021;29.377,72
23-03-2021;29.379,62
24-03-2021;29.381,51
25-03-2021;29.383,41
26-03-2021;29.385,30
27-03-2021;29.387,19
28-03-2021;29.389,09
29-03-2021;29.390,98
30-03-2021;29.392,88
31-03-2021;29.394,77
01-04-2021;29.396,67
02-04-2021;29.398,56
03-04-2021;29.400,45
04-04-2021;29.402,35
05-04-2021;29.404,24
06-04-2021;29.406,14
07-04-2021;29.408,04
08-04-2021;29.409,93
09-04-2021;29.411,83
10-04-2021;29.415,74
11-04-2021;29.419,66
12-04-2021;29.423,57
13-04-2021;29.427,49
14-04-2021;29.431,41
15-04-2021;29.435,32
16-04-2021;29.439,24
17-04-2021;29.443,16
18-04-2021;29.447,07
19-04-2021;29.450,99
20-04-2021;29.454,91
21-04-2021;29.458,83
22-04-2021;29.462,75
23-04-2021;29.466,67
24-04-2021;29.470,59
25-04-2021;29.474,52
26-04-2021;29.478,44
27-04-2021;29.482,36
28-04-2021;29.486,29
29-04-2021;29.490,21
30-04-2021;29.494,13
01-05-2021;29.498,06
02-05-2021;29.501,98
03-05-2021;29.505,91
04-05-2021;29.509,84
05-05-2021;29.513,76
06-05-2021;29.517,69
07-05-2021;29.521,62
08-05-2021;29.525,55
09-05-2021;29.529,48
